time_tick,gyr_X_value,gyr_Y_value,gyr_Z_value
7.395643,1.029826,0.076378,0.070672
7.425653,0.642728,-0.083989,-0.167765
7.465667,0.660725,-0.155681,-0.145673
7.495678,1.484073,-0.340556,0.214502
7.535688,1.301231,-0.150026,0.179527
7.565686,1.526405,-0.189304,0.097178
7.595717,1.813201,0.118259,0.443501
7.635733,1.789365,0.522161,0.096814
7.665745,1.345587,0.371707,-0.109602
7.695756,1.661607,-0.009450,0.235719
7.735770,1.807854,0.006108,0.169180
7.765780,1.431643,-0.037036,0.081805
7.795785,1.287195,0.085589,0.249801
7.835809,0.932760,0.250848,0.067404
7.865820,0.670224,0.269821,0.069576
7.895830,0.597774,0.237731,0.195448
7.945825,0.354980,0.189018,-0.047137
7.975839,0.603516,0.094380,0.085397
8.005873,0.575751,0.006767,0.016748
8.035885,0.589872,0.062460,0.076283
8.065896,0.500383,0.106015,-0.012345
8.095908,0.423529,0.195024,0.000909
8.125919,0.512247,0.140999,-0.137171
8.165934,0.702050,0.078208,-0.084938
8.195938,0.852084,-0.057726,-0.074516
8.235963,0.673039,0.061122,0.049769
8.265975,0.766048,-0.043734,-0.181765
8.305988,0.806409,-0.032058,0.119452
8.325998,0.757009,0.032228,0.154614
8.366011,0.578190,0.168775,-0.048315
8.396023,0.460617,0.375862,-0.028671
8.426033,0.888301,0.447475,0.310263
8.466028,0.893151,0.262897,-0.108950
8.496063,1.104225,0.147811,-0.047026
8.546058,1.925008,-0.644242,-0.016049
8.566074,2.004323,-0.644406,0.020197
8.596082,1.983153,-0.569499,-0.003965
8.626113,1.947430,-0.387657,0.018497
8.656124,1.334713,-0.111834,-0.081334
8.696137,1.191439,0.098057,-0.043590
8.736154,1.779729,-0.506314,0.126706
8.766144,1.722306,-0.798279,0.093591
8.786172,1.738976,-0.837630,0.234321
8.846195,1.500731,-0.287029,0.134689
8.876207,1.431364,-0.298482,0.165236
8.906209,1.152912,-0.189683,0.145655
8.926228,1.098884,0.048430,0.178707
8.966241,1.155229,0.289458,0.123676
8.996252,0.923313,0.109746,0.087117
9.026263,0.907237,0.133012,0.094972
9.066280,0.671197,0.087193,0.017282
