time_tick,gyr_X_value,gyr_Y_value,gyr_Z_value
9.303303,0.463394,-0.292491,-0.045279
9.333313,0.093260,0.161456,-0.212785
9.373327,0.516326,0.219870,0.365174
9.413336,0.672022,0.127070,0.131809
9.433345,0.268261,-0.031198,-0.038548
9.473358,0.560076,-0.106155,0.217759
9.503367,0.093191,-0.263196,0.087762
9.543378,0.053606,-0.127451,-0.017182
9.573368,-0.239535,-0.129722,-0.030327
9.603399,-0.580757,-0.183951,-0.007268
9.623406,-0.845862,-0.255049,-0.043985
9.673421,-1.990047,-0.627752,-0.088366
9.713415,-1.779546,-0.538869,-0.117317
9.733437,-1.556873,-0.519225,-0.076284
9.773441,-1.543000,-0.472443,0.008609
9.803435,-1.361604,0.061034,-0.380107
9.833469,-1.769225,0.700539,-0.560178
9.863484,-1.003196,0.826367,-0.173056
9.903497,-0.886578,0.448877,-0.065048
9.933507,-1.620288,0.375995,-0.203371
9.973508,-1.453231,0.391651,-0.127382
10.003506,-2.079745,-0.072105,0.234455
10.033513,-2.199835,-0.072074,0.336406
10.063521,-2.394304,0.188548,-0.323653
10.093551,-2.421197,0.157738,0.016047
10.133570,-2.178142,0.124443,0.251799
10.173584,-1.693709,-0.423950,0.282635
10.203595,-2.040176,-0.289810,0.258125
10.233603,-0.883490,-0.294473,-0.698775
10.273586,-1.920104,-0.599946,0.426936
10.313630,-1.110149,-0.093777,0.495727
10.343638,-0.534084,0.133797,-0.773398
10.373649,0.077583,0.267930,-0.562834
10.403658,-1.215655,0.080113,0.386094
10.433667,-1.078195,0.019888,0.463836
10.463677,-0.319662,0.192565,0.141435
10.503674,0.119534,0.156887,-0.184126
10.533701,-1.208743,-0.062454,0.366451
10.573684,-0.356586,-0.086908,0.277663
10.603722,-0.272206,-0.092416,-0.466750
10.633733,0.573514,-0.158011,-0.943400
10.673744,-0.475327,-0.201489,-0.226539
10.703743,-0.405245,-0.224580,-0.015259
10.733741,-0.373791,-0.170028,-0.087591
10.773772,-0.435321,-0.218138,0.114565
10.803767,-0.382148,-0.179934,0.001545
10.833798,-0.071317,-0.018443,-0.286490
10.873812,-0.232034,0.062353,-0.178839
10.903805,-0.128581,0.063387,-0.214857
10.943834,-0.085213,0.204350,-0.428079
10.973842,-0.216802,0.227065,-0.349117
11.003852,-0.200292,0.248910,-0.307220
11.033861,-0.344875,0.233772,-0.197070
11.063872,-0.211092,0.110155,-0.159853
11.093882,-0.290712,-0.074577,-0.026177
11.133893,-0.400200,-0.195424,0.104392
11.173908,-0.418790,0.046340,0.403414
11.203918,-0.076701,0.009798,0.318061
11.233927,-0.232102,0.002710,0.243308
11.273940,0.210446,-0.175270,0.235216
11.303949,0.161710,-0.009910,0.286071
11.333938,0.125346,0.162272,0.170107
11.363951,0.041411,0.003364,0.002237
11.403986,0.019050,0.143343,-0.023914
11.433995,-0.001782,0.109607,-0.056465
11.464005,0.095836,-0.084846,-0.000394
11.514018,-0.041237,-0.068377,-0.004503
11.534007,-0.172103,-0.113727,-0.079935
11.564029,-2.436550,0.554977,-0.025545
11.594043,-2.800095,0.943112,0.002477
11.644063,-0.103506,0.059428,0.128591
11.674056,-0.917543,-0.006803,-0.052240
11.694072,-2.155881,0.481625,-0.022320
11.734084,-1.176931,0.262217,0.201277
11.774107,-1.624569,0.146904,0.352823
11.804116,-1.953457,-0.072362,0.149522
11.834126,-1.825889,-0.097168,0.351266
11.864135,-1.870260,-0.284864,0.266922
11.904147,-1.194492,0.019990,0.206349
11.934157,-1.298827,0.047467,0.118470
11.964166,-3.347595,-0.635782,0.370374
12.004154,-1.490764,-0.103920,-0.087670
12.034189,-1.243324,-0.046875,-0.186291
12.064199,-1.664905,-0.064986,-0.108422
12.104205,-2.283640,0.007600,-0.097166
12.134204,-2.561988,-0.123103,-0.074385
12.164233,-2.153409,-0.103530,0.173172
12.194242,-2.548909,-0.242033,0.323286
12.234253,-2.107324,-0.140899,0.546866
